日期,条号,标题,支柱,形态,时长秒,播放,3秒完播率,完播率,点赞,收藏,收藏率,转发,评论,涨粉,主页访客,网站跳转,私信数,评价,原因一句话
2026-09-16,01,我是谁这个号给你什么,P3,口播+录屏,45,,,,,,,,,,,,,,
2026-09-18,02,师弟的16周计划,P1,录屏展示,60,,,,,,,,,,,,,,,
2026-09-20,03,网站6大板块巡展,P1,录屏展示,50,,,,,,,,,,,,,,,
